origh;resph;mehodCount;uriCount;useragentCount;requestbodylen_Mean;responsebodylenMean;Ano;Mes;dia;diasemana;hora;minuto;RecordCount
192.168.202.79;192.168.229.251;200;200;200;0.000000;155.935.000;2012;3;16;6;12;30;200
192.168.202.79;192.168.229.153;1;1;1;0.000000;326.000.000;2012;3;16;6;12;30;1
192.168.202.79;192.168.229.101;1;1;1;0.000000;238.000.000;2012;3;16;6;12;30;1
192.168.202.79;192.168.229.156;1;1;1;0.000000;287.000.000;2012;3;16;6;12;30;1
192.168.202.76;192.168.28.102;4;4;4;0.000000;169.000.000;2012;3;16;6;12;42;4
192.168.202.76;192.168.28.102;1;1;1;0.000000;571.000.000;2012;3;16;6;12;43;1
192.168.202.79;192.168.229.156;1;1;1;0.000000;602.000.000;2012;3;16;6;12;44;1
192.168.202.79;192.168.229.101;1;1;1;0.000000;872.000.000;2012;3;16;6;12;44;1
192.168.202.79;192.168.229.251;2;2;2;0.000000;1.006.000.000;2012;3;16;6;12;44;2
192.168.202.79;192.168.229.153;1;1;1;0.000000;326.000.000;2012;3;16;6;12;44;1
192.168.202.79;192.168.229.153;63;63;63;0.000000;108.666.667;2012;3;16;6;12;46;63
192.168.202.79;192.168.229.156;61;61;61;9.327.869;305.081.967;2012;3;16;6;12;46;61
192.168.202.79;192.168.229.251;46;46;46;5.043.478;719.652.174;2012;3;16;6;12;46;46
192.168.202.79;192.168.229.101;55;55;55;12.345.455;87.436.364;2012;3;16;6;12;46;55
192.168.202.79;192.168.229.153;398;398;398;0.000000;133.791.457;2012;3;16;6;12;47;398
192.168.202.79;192.168.229.156;313;313;313;1.782.748;370.568.690;2012;3;16;6;12;47;313
192.168.202.79;192.168.229.101;343;343;343;1.489.796;159.078.717;2012;3;16;6;12;47;343
192.168.202.79;192.168.229.251;699;699;699;1.280.401;451.821.173;2012;3;16;6;12;47;699
192.168.202.79;192.168.229.251;406;406;406;0.000000;136.921.182;2012;3;16;6;12;48;406
192.168.202.79;192.168.229.153;235;235;235;0.000000;0.000000;2012;3;16;6;12;48;235
192.168.202.79;192.168.229.156;235;235;235;0.000000;0.000000;2012;3;16;6;12;48;235
192.168.202.79;192.168.229.101;239;239;239;0.000000;0.000000;2012;3;16;6;12;48;239
192.168.202.79;192.168.229.153;240;240;240;0.000000;35.316.667;2012;3;16;6;12;49;240
192.168.202.79;192.168.229.251;240;240;240;0.000000;169.787.500;2012;3;16;6;12;49;240
192.168.202.79;192.168.229.156;240;240;240;0.000000;30.004.167;2012;3;16;6;12;49;240
192.168.202.79;192.168.229.101;243;243;243;0.000000;24.485.597;2012;3;16;6;12;49;243
